PWSID,Water System,County,Link to Conservation Plan,CCR Website Link,Contact Phone,Email,,,,,Arent in the new dataset so cannot get a good PWSID- decided to omit
01-97-035,Broadway WA,WILKES,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-82-010,,,,,,,,
03-26-0127,Brookwood Comm,CUMBERLAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-10-045,,,,,,,,
04-24-1940,Brunswick,COLUMBUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-09-020,,,,,,,,
04-10-1945,Brunswick County,BRUNSWICK,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-87-010,https://www.brunswickcountync.gov/utilities/rates/,800-442-7033,NA,,,,,
01-87-010,Bryson City,SWAIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-14-048,,,,,,,,
02-35-025,Bunn,FRANKLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-23-055,,,,,,,,
04-71-010,Burgaw,PENDER,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-43-020,,,,,,,,
01-12-1965,Burke County,BURKE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-81-050,,,,,,,,
02-01-2010,Burlington,ALAMANCE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-46-030,,,,,,,,
01-00-010,Burnsville,YANCEY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-85-020,,,,,,,,
01-14-1948,Caldwell County N,CALDWELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-14-047,,,,,,,,
01-14-1947,Caldwell County SE,CALDWELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-14-045,,,,,,,,
01-14-1945,Caldwell County W,CALDWELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/10-14-001,,,,,,,,
10-14-2001,CALDWELL COUNTY- ADDISON LANE,CALDWELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-67-041,,,,,,,,
04-31-045,Calypso,DUPLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-89-010,,,,,,,,
03-63-040,Cameron,MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-24-060,,,,,,,,
04-67-041,Camp Lejeune - Hadnot Point,ONSLOW,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-67-043,,,,,,,,
04-67-043,Camp Lejeune - Holcomb Blvd,ONSLOW,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-67-042,,,,,,,,
04-67-042,Camp Lejeune - New River MCAS,ONSLOW,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-67-048,,,,,,,,
04-67-048,Camp Lejeune - Onslow Beach,ONSLOW,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-67-046,,,,,,,,
04-67-046,Camp Lejeune - Purchases,ONSLOW,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-65-015,,,,,,,,
03-62-030,Candor,MONTGOMERY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/70-24-007,,,,,,,,
01-44-015,Canton,HAYWOOD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-44-015,,,,,,,,
04-65-015,Carolina Beach,NEW HANOVER,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-92-020,,,,,,,,
03-53-101,Carolina Trace,LEE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-63-103,,,,,,,,
03-63-025,Carthage,MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/70-24-012,,,,,,,,
03-92-020,Cary,WAKE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-18-040,https://www.townofcary.org/services-publications/water-sewer/utility-customer-service,919-469-4000,311@townofcary.org,,,,,
01-18-1940,Catawba,CATAWBA,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/40-19-010,,,,,,,,
40-64-005,Central Nash County Water System,,,,,,,,,,
04-24-1955,Cerro Gordo,COLUMBUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/70-24-013,,,,,,,,
04-24-2020,Chadbourn,COLUMBUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-13-010,,,,,,,,
01-60-010,Charlotte-Mecklenburg,MECKLENBURG,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-30-015,https://charlottenc.gov/water/Pages/Home.aspx,704-336-7600,anicholson@charlottenc.gov,,,,,
40-19-010,CHATHAM CO-ASBURY,CHATHAM,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-19-126,,,,,,,,
03-19-0126,Chatham County N,CHATHAM,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-19-050,,,,,,,,
03-19-1950,Chatham County SW,CHATHAM,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-36-030,,,,,,,,
04-25-1935,Cherry Point MCAS,CRAVEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-66-025,,,,,,,,
01-36-030,Cherryville,GASTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-80-040,,,,,,,,
01-81-107,Chimney Rock,RUTHERFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-12-045,,,,,,,,
01-80-040,China Grove,ROWAN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-31-050,,,,,,,,
04-31-050,Chinquapin WA,DUPLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-07-025,,,,,,,,
04-07-2025,Chocowinity,BEAUFORT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-18-035,,,,,,,,
04-21-2015,Chowan County,CHOWAN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-25-045,,,,,,,,
01-18-1935,Claremont,CATAWBA,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-26-332,,,,,,,,
03-09-2020,Clarkton,BLADEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-25-055,,,,,,,,
01-22-2010,Clay County WSD,CLAY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-99-025,,,,,,,,
03-51-020,Clayton,JOHNSTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-62-120,,,,,,,,
01-80-050,Cleveland,ROWAN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-99-010,,,,,,,,
01-23-1955,Cleveland County SD,CLEVELAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-94-020,,,,,,,,
03-26-0332,Cliffdale West,CUMBERLAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-44-025,,,,,,,,
03-82-010,Clinton,SAMPSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-06-025,,,,,,,,
01-44-025,Clyde,HAYWOOD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-88-104,,,,,,,,
03-43-020,Coats,HARNETT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-27-010,,,,,,,,
04-46-030,Cofield,HERTFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-36-065,,,,,,,,
04-89-010,Columbia,TYRRELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-79-040,,,,,,,,
01-75-015,Columbus,POLK,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-45-030,,,,,,,,
04-24-1960,Columbus County WD I,COLUMBUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-28-025,,,,,,,,
70-24-007,Columbus County WD II,COLUMBUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-54-030,,,,,,,,
70-24-012,Columbus County WD III,COLUMBUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-29-030,,,,,,,,
70-24-013,Columbus County WD IV,COLUMBUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-64-060,,,,,,,,
01-13-2010,Concord,CABARRUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-25-025,https://www.concordnc.gov/Resident/Pay-Your-Utility-Bill,828-245-9397,NA,,,,,
01-81-050,CONCORD COMM WATER SYSTEM,RUTHERFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-86-020,,,,,,,,
01-88-104,Connestee Fall Development,TRANSYLVANIA,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-18-020,,,,,,,,
01-18-2020,Conover,CATAWBA,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-06-010,,,,,,,,
04-66-025,Conway,NORTHAMPTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-09-025,,,,,,,,
04-25-1945,Cove City,CRAVEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-31-085,,,,,,,,
04-25-1955,Craven County,CRAVEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-09-050,,,,,,,,
04-94-020,Creswell,WASHINGTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-74-015,,,,,,,,
01-06-2010,Crossnore,AVERY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-28-030,,,,,,,,
04-27-2010,Currituck County (Mainland),CURRITUCK,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-79-010,,,,,,,,
01-36-065,Dallas,GASTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-21-010,,,,,,,,
02-79-040,Dan River Water Inc.,ROCKINGHAM,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-33-050,,,,,,,,
02-85-020,Danbury,STOKES,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-02-015,,,,,,,,
04-28-2025,Dare County Cape Hatteras,DARE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-70-010,,,,,,,,
04-28-1930,Dare County Regional,DARE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-28-035,,,,,,,,
04-28-1935,Dare County Rodanthe-Waves-Salvo,DARE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/60-28-002,,,,,,,,
60-28-002,Dare County Stumpy Point WSD,DARE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-29-025,,,,,,,,
02-29-025,Davidson Water,DAVIDSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-80-060,https://www.davidsonwater.com,336-731-2341,program.intake@usda.gov,,,,,
02-30-015,Davie County,DAVIE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-80-055,,,,,,,,
04-54-030,Deep Run WC,LENOIR,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-77-020,,,,,,,,
02-29-030,Denton,DAVIDSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-98-020,,,,,,,,
02-86-030,Dobsob,,,,,,,,,,
04-64-060,Dortches,NASH,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-01-025,,,,,,,,
04-25-2025,Dover,CRAVEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-42-025,,,,,,,,
01-12-1945,Drexel,BURKE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-14-030,,,,,,,,
03-09-2025,Dublin,BLADEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-59-114,,,,,,,,
03-43-010,Dunn,HARNETT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-43-010,,,,,,,,
04-31-085,Duplin County WDs,DUPLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-24-030,,,,,,,,
03-32-010,Durham,DURHAM,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-32-010,https://durhamnc.gov/1341/Utilities,919-560-1200,NA,,,,,
03-09-1950,East Arcadia,BLADEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-31-040,,,,,,,,
02-99-025,East Bend,YADKIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-23-030,,,,,,,,
50-63-011,EAST MOORE WATER DISTRICT,MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-63-045,,,,,,,,
01-80-060,East Spencer,ROWAN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-09-010,,,,,,,,
04-74-015,Eastern Pines WC,PITT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-23-035,,,,,,,,
50-26-027,eastover sanitary district,,,,,,,,,,
02-79-010,Eden,ROCKINGHAM,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-74-020,,,,,,,,
04-21-2010,Edenton,CHOWAN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-96-060,,,,,,,,
04-33-050,Edgecombe County WSD 1,EDGECOMBE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-74-050,,,,,,,,
04-70-010,Elizabeth City,PASQUOTANK,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-51-035,,,,,,,,
03-09-2010,Elizabethtown,BLADEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-81-038,,,,,,,,
01-06-2025,Elk Park,AVERY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-49-025,,,,,,,,
02-86-020,Elkin,SURRY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-85-010,,,,,,,,
01-81-038,Ellenboro,RUTHERFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-50-113,,,,,,,,
03-77-020,Ellerbe,RICHMOND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-63-479,,,,,,,,
04-98-020,Elm City,WILSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-76-035,,,,,,,,
02-01-2025,Elon College,ALAMANCE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-96-025,,,,,,,,
01-02-2015,Energy United WC\Alexander Co WC,ALEXANDER,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-23-020,,,,,,,,
04-42-025,Enfield,HALIFAX,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-82-020,,,,,,,,
04-59-114,Everetts,MARTIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-37-020,,,,,,,,
04-24-1930,Fair Bluff,COLUMBUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-83-015,,,,,,,,
04-25-0132,Fairfield Harbour,CRAVEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-25-132,,,,,,,,
01-50-113,Fairfield Sapphire,JACKSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-78-025,,,,,,,,
03-78-025,Fairmont,ROBESON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-26-010,,,,,,,,
04-31-040,Faison,DUPLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-26-050,,,,,,,,
01-80-055,Faith,ROWAN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-81-020,,,,,,,,
